trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
317,False,"{'a': 0.8, 'e': 0.0016544970400176645}",25,12,25.02344395077671,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.8, 'e': 0.0016214070992173113}",20,10,20.280142365529553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.8, 'e': 0.001588978957232965}",20,3,24.416770496410894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.8, 'e': 0.0015571993780883057}",25,14,19.295184866811915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.8, 'e': 0.0015260553905265396}",30,19,24.090774271653434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.8, 'e': 0.0014955342827160088}",25,20,10.621192321014442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.8, 'e': 0.0014656235970616886}",20,14,12.627943812394086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.8, 'e': 0.0014363111251204548}",20,9,20.060008736646616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.8, 'e': 0.0014075849026180458}",30,16,22.2771958476935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.8, 'e': 0.001379433204565685}",30,12,30.966211081496276,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.8, 'e': 0.0013518445404743713}",20,13,14.644881903320194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.8, 'e': 0.0013248076496648838}",25,14,20.734551196902228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.8, 'e': 0.0012983114966715861}",20,5,25.526634196846558,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.8, 'e': 0.0012723452667381544}",20,10,16.147661751977665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.8, 'e': 0.0012468983614033913}",30,15,29.826951154592656,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.8, 'e': 0.0012219603941753235}",25,11,27.14304785161949,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.8, 'e': 0.001197521186291817}",20,16,8.171174817107275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.8, 'e': 0.0011735707625659807}",25,17,17.11709218228296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.8, 'e': 0.001150099347314661}",25,9,25.952619466657275,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.8, 'e': 0.0011270973603683678}",20,16,7.356236117858721,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.8, 'e': 0.0011045554131610005}",30,11,34.71568075380163,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.8, 'e': 0.0010824643048977804}",20,13,13.2537864242555,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.8, 'e': 0.0010608150187998249}",25,11,23.35877165059988,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.8, 'e': 0.0010395987184238283}",20,11,16.75723059963752,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.8, 'e': 0.0010188067440553518}",25,9,28.140017146470345,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
